1. Dan Aaron
2. Annie Bienh
3. Oscar Bolivar
4. Dominique Bonnaud
5. Paul Campbell
6. Jeffrey Carnahan
7. Joel Chae
8. Dustin Chen
9. Steven Coleman
10. Richard Davis
11. Johnny Gaines
12. Carlos Garcia
13. Julio Gonzalez
14. Jacqueline Gordon
15. James Graves
16. Ronald Harrison
17. Andrew Huang
18. Anthony Hunter
19. Jonathan Jackson
20. Bruce Johnson
21. Jorge Ibarra
22. Maurice Jones
23. Jared Kerns
24. Kevin King
25. Frank Lipka
26. Carl Luther
27. Laverne Mitchell
28. Zachary Quesada
29. Donnell Romaine
30. Gary Sanders
31. Edward Shingleton
32. Michael Speciale
33. Andrew Steele
34. Neil Swain
35. Sherry Thomas
36. Shequiea Thompson
37. Barbara Tilford
38. Jermaine Tryon
39. Lizbet Valdez
40. Katelyn Yu
